text,aspect
"Mera meter bahut tez chal raha hai, faulty hai shayad.",Repair & Maintenance
Why is our feeder always the first to have an outage?,Service Interruptions & Reliability
Can I sell surplus solar power back to the grid?,Green Energy & Sustainability
My issue is not resolved even after multiple calls.,Customer Support & Communication
Website par information aadhi-adhuri hai.,Customer Support & Communication
This area has the worst power reliability.,Service Interruptions & Reliability
"My complaint was marked as resolved, but the issue persists.",Customer Support & Communication
Solar panel ki cleaning and maintenance kaun karega?,Green Energy & Sustainability
I found a calculation mistake in my electricity bill.,Billing & Tariff
Net-metering ka bill kaise calculate hota hai?,Green Energy & Sustainability
I am interested in renewable energy sources.,Green Energy & Sustainability
The power is tripping every few minutes.,Service Interruptions & Reliability
Can the bill be sent to my email instead of post?,Billing & Tariff
Heavy rain and the power is gone.,Service Interruptions & Reliability
Are there any financing options for solar panels?,Green Energy & Sustainability
The agent was reading from a script and didn't listen to my problem.,Customer Support & Communication
The resolution provided was just temporary.,Customer Support & Communication
I need to report a broken electricity pole.,Repair & Maintenance
I appreciate your efforts towards sustainability.,Green Energy & Sustainability
Even a slight drizzle causes a power failure.,Service Interruptions & Reliability
New connection ke liye online apply kaise karein?,Billing & Tariff
The complaint resolution process is not at all customer-friendly.,Customer Support & Communication
"Fuse ud gaya hai, complaint likhwaani hai.",Repair & Maintenance
Green tariff ke fayde kya hain compared to normal tariff?,Green Energy & Sustainability
"I lodged a complaint yesterday, but no one has visited yet.",Repair & Maintenance
The POS machine at your counter was not working.,Billing & Tariff
What are the long-term benefits of solar energy?,Green Energy & Sustainability
Last month ka payment update nahi hua hai.,Billing & Tariff
The new meter is also running very fast.,Repair & Maintenance
My meter display is not working.,Repair & Maintenance
"No power supply since morning, please look into it.",Service Interruptions & Reliability
Poori colony ki light chali gayi hai.,Service Interruptions & Reliability
Billing me extra charges jod diye hain.,Billing & Tariff
Why was there an unannounced power shutdown?,Service Interruptions & Reliability
Meter box needs to be sealed properly.,Repair & Maintenance
What kind of incentives are offered for adopting green energy?,Green Energy & Sustainability
Why is there no escalation matrix available on the website?,Customer Support & Communication
Email ka koi reply nahi aaya abhi tak.,Customer Support & Communication
Your communication channels are not effective at all.,Customer Support & Communication
